t,a
3.939811707,-0.473632813
3.946298361,-0.456298828
3.952749491,-0.404541016
3.959192038,-0.352539063
3.965638876,-0.171630859
3.972083092,-0.008544922
3.978560209,0.047851563
3.985014677,0.046386719
3.991461754,0.010498047
3.997907162,-0.165771484
4.004351616,-0.31640625
4.01079917,-0.374023438
4.017250538,-0.354248047
4.023694992,-0.326171875
4.030140638,-0.240966797
4.036586761,-0.102539063
4.043059111,0.042236328
4.049515486,0.199707031
4.055975437,0.275146484
4.062420607,0.273925781
4.068869352,0.176025391
4.075352907,0.018798828
4.081804276,-0.09765625
4.088254452,-0.230957031
4.094702482,-0.300292969
4.101145744,-0.186523438
4.107591152,-0.048583984
4.114035368,0.096923828
4.120479822,0.210449219
4.126924515,0.312988281
4.133367062,0.403564453
4.139809608,0.46484375
4.14628458,0.365966797
4.152739763,0.166259766
4.159188032,0.193603516
4.165633202,0.09375
4.172076464,0.046630859
4.178599119,0.005371094
4.185104132,-0.070800781
4.191566467,-0.018798828
4.198010445,0.004394531
4.204425097,0.132568359
4.210871696,0.254394531
4.217316389,0.211914063
4.223733187,0.210205078
4.23015523,0.381591797
4.236586571,0.27734375
4.243062019,0.140625
4.249499083,0.009765625
4.255916834,-0.122802734
4.262359381,-0.154541016
4.268797398,-0.190185547
4.275213718,-0.089599609
4.281656027,-0.049072266
4.288099766,0.04296875
4.294547796,0.139892578
4.30099225,0.299316406
4.307437181,0.309082031
4.313886404,0.325683594
4.320331573,0.245605469
4.326773882,0.123291016
4.333220243,-0.084960938
4.339663506,-0.181396484
4.346137762,-0.201416016
4.352582932,-0.124755859
4.359026909,0.066650391
4.365478516,0.106933594
4.37197113,0.211181641
4.378428698,0.16796875
4.384873867,0.267089844
4.391321659,0.390380859
4.397767305,0.357666016
4.404213428,0.374023438
4.410697937,0.284912109
4.417155504,0.119384766
4.423603535,0.08203125
4.430048227,0.043701172
4.436497688,0.056152344
4.442963362,0.123535156
4.4494555,0.185546875
4.455905914,0.202148438
4.462333441,0.267578125
4.468772888,0.296875
4.475221157,0.311279297
4.481723785,0.372070313
4.488216877,0.444335938
4.494674921,0.352050781
4.501108408,0.273193359
4.507578373,0.185546875
4.514013767,0.162109375
4.520444393,0.995544434
4.526870728,0.992919922
4.533291817,-0.544921875
4.539722443,-0.069580078
4.546180725,0.995544434
4.55262804,0.411132813
4.559078455,0.101806641
4.565525055,-0.023193359
4.571969748,0.083251953
4.578411818,0.057373047
4.584852457,0.202880859
4.59129262,0.258544922
4.597735882,0.325927734
4.604175568,0.280273438
4.610619545,0.213623047
4.617073298,0.154052734
4.623513937,0.226806641
4.629957199,0.294433594
4.636411667,0.415039063
4.642860174,0.495117188
4.649346113,0.557861328
4.655795574,0.577392578
4.662241936,0.563476563
4.668691874,0.548095703
4.675138235,0.539306641
4.681587934,0.548095703
4.688035011,0.5703125
4.694480896,0.570556641
4.700927973,0.527099609
4.70737958,0.500976563
4.713823557,0.418701172
4.720273018,0.426513672
4.726721525,0.407958984
4.733173609,0.390380859
4.739626884,0.366455078
4.746074438,0.366210938
4.752557516,0.353759766
4.759006023,0.309082031
4.765452862,0.307861328
4.771898985,0.286621094
4.778348923,0.262207031
4.784794569,0.259033203
4.791242361,0.249755859
4.797691822,0.230712891
4.804138422,0.198974609
4.81058526,0.208984375
4.817034006,0.190185547
4.823484421,0.186279297
4.829931974,0.202392578
4.836418867,0.231689453
4.842873335,0.254150391
4.849372625,0.275634766
4.855822325,0.263671875
4.862272501,0.268066406
4.868725777,0.240478516
4.875174284,0.224853516
4.881622791,0.176757813
4.888071299,0.110351563
4.894557953,0.033203125
4.901016235,0.025390625
4.907489061,0.041748047
4.9139328,0.110839844
4.920381308,0.101318359
4.926825523,0.158203125
4.933272362,0.120361328
4.939727545,0.09375
4.946178198,0.031494141
4.952664852,-0.012207031
4.959112406,-0.03515625
4.965561867,-0.077392578
4.972007275,-0.09375
4.978452921,-0.062988281
4.984898806,-0.065673828
4.991344213,-0.027099609
4.997786522,-0.012207031
5.004229784,0.033203125
5.010710478,0.040527344
5.017158508,0.051757813
5.023599386,-0.026855469
5.030044794,-0.111572266
5.036491632,-0.217285156
5.042933464,-0.287841797
5.049413443,-0.333007813
5.055858135,-0.331787109
5.062303782,-0.355712891
5.068748474,-0.330810547
5.075192451,-0.219726563
5.081735134,-0.031494141
5.088229418,0.138671875
5.094660044,0.217773438
5.10108161,0.235351563
5.107539177,0.177734375
5.113959789,0.150634766
5.120385408,0.051269531
5.126811504,0.018554688
5.133233547,-0.001953125
5.139655113,-0.068603516
5.146076441,-0.127929688
5.152717113,-0.168457031
5.158264637,-0.194824219
5.163802147,-0.205566406
5.169332981,-0.11328125
5.174862385,0.055664063
5.180391312,0.171875
5.1859231,0.197265625
5.191453457,0.152587891
5.196985006,0.127197266
5.202510834,0.044921875
5.208067894,0.041259766
5.213598728,-0.014160156
5.219158173,-0.059082031
5.224698305,-0.147460938
5.23023057,-0.159912109
5.235758305,-0.128417969
5.241286278,-0.099365234
5.246819973,-0.071777344
5.25250721,-0.097900391
5.258962154,-0.125
5.265414953,-0.083251953
5.271866083,-0.088378906
5.278315783,-0.072998047
5.284765005,-0.072753906
5.291217327,-0.112304688
5.297667742,-0.180664063
5.30411458,-0.198730469
5.31056428,-0.241943359
5.317013979,-0.294921875
5.323459148,-0.358642578
5.329910517,-0.314453125
5.336356401,-0.324951172
5.34281373,-0.297363281
5.349253654,-0.270507813
5.355564117,-0.298583984
5.361093283,-0.257324219
5.366621494,-0.252197266
5.37215066,-0.23828125
5.377686262,-0.298095703
5.383307219,-0.287353516
5.388854265,-0.318359375
5.394359112,-0.343017578
